budget,id,original_language,original_title,popularity,release_date,revenue,runtime,title,avg_user_score,num_votes,director,genre,num_actors,lead_actor,num_famous_actors,has_famous_lead,production_company_main,has_multiple_production_companies,production_country_main,has_multiple_production_countries,release_year,season_releaed,decade_released,2024_adjusted_budget,2024_adjusted_revenue
250000000,271110,en,Captain America: Civil War,198.372395,2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,Anthony Russo,Adventure,100.0,Chris Evans,8,False,Studio Babelsberg,True,United States of America,False,2016,Spring,2010,326761202,1507420650
209000000,44833,en,Battleship,64.928382,2012-04-11,303025485,131.0,Battleship,5.5,2114,Peter Berg,Thriller,46.0,Taylor Kitsch,1,False,Universal Pictures,True,United States of America,False,2012,Spring,2010,285569779,414042684
150000000,135397,en,Jurassic World,418.708552,2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,Colin Trevorrow,Action,28.0,Chris Pratt,2,False,Universal Studios,True,United States of America,False,2015,Summer,2010,198541466,2003321530
200000000,37724,en,Skyfall,93.004993,2012-10-25,1108561013,143.0,Skyfall,6.9,7604,Sam Mendes,Action,24.0,Daniel Craig,3,True,Columbia Pictures,False,United Kingdom,True,2012,Fall,2010,273272516,1514696287
200000000,558,en,Spider-Man 2,35.149586,2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,Sam Raimi,Action,76.0,Tobey Maguire,9,False,Columbia Pictures,True,United States of America,False,2004,Summer,2000,332116459,1301508508
200000000,68721,en,Iron Man 3,77.68208,2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,Shane Black,Action,107.0,Robert Downey Jr.,8,True,Marvel Studios,False,China,True,2013,Spring,2010,269324299,1636737619
200000000,12155,en,Alice in Wonderland,78.530105,2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,Tim Burton,Family,35.0,Mia Wasikowska,6,False,Walt Disney Pictures,True,United States of America,False,2010,Spring,2010,287695660,1475146708
210000000,36668,en,X-Men: The Last Stand,3.857526,2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,Brett Ratner,Adventure,32.0,Hugh Jackman,6,True,Ingenious Film Partners,True,Canada,True,2006,Spring,2000,326836127,714929989
200000000,62211,en,Monsters University,89.186492,2013-06-20,743559607,104.0,Monsters University,7.0,3528,Dan Scanlon,Animation,24.0,Billy Crystal,6,False,Walt Disney Pictures,True,United States of America,False,2013,Summer,2010,269324299,1001293348
150000000,8373,en,Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,Michael Bay,Science Fiction,37.0,Shia LaBeouf,3,False,Paramount Pictures,True,United States of America,False,2009,Summer,2000,219303000,1222683271
210000000,91314,en,Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,Michael Bay,Science Fiction,41.0,Mark Wahlberg,6,True,Paramount Pictures,True,United States of America,False,2014,Summer,2010,278294764,1446344398
200000000,68728,en,Oz: The Great and Powerful,46.985445,2013-03-07,491868548,130.0,Oz: The Great and Powerful,5.7,3530,Sam Raimi,Fantasy,159.0,James Franco,2,True,Walt Disney Pictures,True,United States of America,False,2013,Spring,2010,269324299,662360758
200000000,102382,en,The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,Marc Webb,Action,65.0,Andrew Garfield,5,False,Columbia Pictures,True,United States of America,False,2014,Spring,2010,265042632,935226029
170000000,20526,en,TRON: Legacy,73.79505,2010-12-10,400062763,125.0,TRON: Legacy,6.3,2841,Joseph Kosinski,Adventure,23.0,Garrett Hedlund,2,False,Walt Disney Pictures,True,United States of America,False,2010,Winter,2010,244541311,575481603
200000000,49013,en,Cars 2,49.98659,2011-06-11,559852396,106.0,Cars 2,5.8,2033,John Lasseter,Animation,47.0,Owen Wilson,9,True,Walt Disney Pictures,True,United States of America,False,2011,Summer,2010,278937977,780820475
200000000,44912,en,Green Lantern,51.872839,2011-06-16,219851172,114.0,Green Lantern,5.1,2487,Martin Campbell,Adventure,23.0,Ryan Reynolds,6,True,De Line Pictures,True,United States of America,False,2011,Summer,2010,278937977,306624206
200000000,10193,en,Toy Story 3,59.995418,2010-06-16,1066969703,103.0,Toy Story 3,7.6,4597,Lee Unkrich,Animation,45.0,Tom Hanks,6,True,Walt Disney Pictures,True,United States of America,False,2010,Summer,2010,287695660,1534812764
200000000,534,en,Terminator Salvation,71.862892,2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,McG,Action,15.0,Christian Bale,3,True,Columbia Pictures,True,Germany,True,2009,Spring,2000,292403999,542925513
190000000,168259,en,Furious 7,102.322217,2015-04-01,1506249360,137.0,Furious 7,7.3,4176,James Wan,Action,52.0,Vin Diesel,2,False,Universal Pictures,True,Japan,True,2015,Spring,2010,251485858,1993686379
200000000,72190,en,World War Z,81.834855,2013-06-20,531865000,116.0,World War Z,6.7,5560,Marc Forster,Action,22.0,Brad Pitt,2,True,Paramount Pictures,True,United States of America,True,2013,Summer,2010,269324299,716220840
250000000,127585,en,X-Men: Days of Future Past,118.078691,2014-05-15,747862775,131.0,X-Men: Days of Future Past,7.5,6032,Bryan Singer,Action,65.0,Hugh Jackman,5,True,Twentieth Century Fox Film Corporation,True,United Kingdom,True,2014,Spring,2010,331303290,991077592
190000000,54138,en,Star Trek Into Darkness,78.291018,2013-05-05,467365246,132.0,Star Trek Into Darkness,7.4,4418,J.J. Abrams,Action,98.0,Chris Pine,5,False,Paramount Pictures,True,United States of America,False,2013,Spring,2010,255858084,629364085
195000000,81005,en,Jack the Giant Slayer,43.349855,2013-02-27,197687603,114.0,Jack the Giant Slayer,5.5,2598,Bryan Singer,Action,23.0,Nicholas Hoult,3,False,New Line Cinema,True,United States of America,False,2013,Winter,2010,262591191,266210375
105000000,64682,en,The Great Gatsby,61.196071,2013-05-10,351040419,143.0,The Great Gatsby,7.3,3769,Baz Luhrmann,Drama,31.0,Leonardo DiCaprio,1,True,Village Roadshow Pictures,True,United States of America,True,2013,Spring,2010,141395257,472718573
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,Mike Newell,Adventure,13.0,Jake Gyllenhaal,3,True,Walt Disney Pictures,True,United States of America,False,2010,Spring,2010,215771745,482112681
180000000,68726,en,Pacific Rim,56.523205,2013-07-11,407602906,131.0,Pacific Rim,6.7,4794,Guillermo del Toro,Action,43.0,Idris Elba,3,True,Legendary Pictures,True,United States of America,True,2013,Summer,2010,242391869,548886834
195000000,38356,en,Transformers: Dark of the Moon,28.529607,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,Michael Bay,Action,39.0,Shia LaBeouf,8,False,Paramount Pictures,True,United States of America,False,2011,Summer,2010,271964528,1567278570
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg,Adventure,38.0,Harrison Ford,5,True,Lucasfilm,True,United States of America,False,2008,Spring,2000,269607216,1146393250
175000000,105864,en,The Good Dinosaur,51.692953,2015-11-14,331926147,93.0,The Good Dinosaur,6.6,1736,Peter Sohn,Adventure,19.0,Raymond Ochoa,3,False,Walt Disney Pictures,True,United States of America,False,2015,Fall,2010,231631711,439340693
185000000,62177,en,Brave,125.114374,2012-06-21,538983207,93.0,Brave,6.7,4641,Brenda Chapman,Animation,15.0,Kelly Macdonald,2,False,Walt Disney Pictures,True,United States of America,False,2012,Summer,2010,252777077,736446486
185000000,188927,en,Star Trek Beyond,65.352913,2016-07-07,343471816,122.0,Star Trek Beyond,6.6,2568,Justin Lin,Action,33.0,Chris Pine,4,False,Paramount Pictures,True,United States of America,False,2016,Summer,2010,241803289,448933053
180000000,10681,en,WALL·E,66.390712,2008-06-22,521311860,98.0,WALL·E,7.8,6296,Andrew Stanton,Animation,29.0,Ben Burtt,2,False,Walt Disney Pictures,True,United States of America,False,2008,Summer,2000,262320535,759726700
140000000,5174,en,Rush Hour 3,22.57178,2007-08-08,258022233,91.0,Rush Hour 3,6.1,783,Brett Ratner,Action,18.0,Chris Tucker,2,False,New Line Cinema,False,United States of America,False,2007,Summer,2000,211810621,390370353
200000000,14161,en,2012,45.274225,2009-10-10,769653595,158.0,2012,5.6,4903,Roland Emmerich,Action,52.0,John Cusack,5,True,Columbia Pictures,True,Canada,True,2009,Fall,2000,292403999,1125248947
200000000,17979,en,A Christmas Carol,39.744242,2009-11-04,325233863,96.0,A Christmas Carol,6.6,1095,Robert Zemeckis,Animation,18.0,Gary Oldman,5,True,Walt Disney,True,United States of America,False,2009,Fall,2000,292403999,475498411
176000003,76757,en,Jupiter Ascending,85.36908,2015-02-04,183987723,124.0,Jupiter Ascending,5.2,2768,Lilly Wachowski,Science Fiction,66.0,Mila Kunis,2,False,Village Roadshow Pictures,True,United States of America,False,2015,Winter,2010,232955325,243527949
180000000,258489,en,The Legend of Tarzan,42.741719,2016-06-29,356743061,109.0,The Legend of Tarzan,5.5,2430,David Yates,Action,34.0,Alexander Skarsgård,2,False,Village Roadshow Pictures,True,Canada,True,2016,Summer,2010,235268065,466279165
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Andrew Adamson,Adventure,24.0,William Moseley,3,False,Walt Disney,True,United Kingdom,True,2005,Winter,2000,289171782,1202965790
178000000,246655,en,X-Men: Apocalypse,139.272042,2016-05-18,543934787,144.0,X-Men: Apocalypse,6.4,4721,Bryan Singer,Science Fiction,95.0,James McAvoy,3,False,Twentieth Century Fox Film Corporation,True,United States of America,False,2016,Spring,2010,232653976,710947138
185000000,155,en,The Dark Knight,187.322927,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,Christopher Nolan,Drama,134.0,Christian Bale,7,True,DC Comics,True,United Kingdom,True,2008,Summer,2000,269607216,1463979491
175000000,14160,en,Up,92.201962,2009-05-13,735099082,96.0,Up,7.7,6870,Pete Docter,Animation,16.0,Ed Asner,2,False,Pixar Animation Studios,False,United States of America,False,2009,Spring,2000,255853499,1074729558
175000000,15512,en,Monsters vs Aliens,36.167578,2009-03-19,381509870,94.0,Monsters vs Aliens,6.0,1423,Conrad Vernon,Animation,28.0,Seth Rogen,4,True,DreamWorks Animation,False,United States of America,False,2009,Spring,2000,255853499,557775059
140000000,1726,en,Iron Man,120.725053,2008-04-30,585174222,126.0,Iron Man,7.4,8776,Jon Favreau,Action,87.0,Robert Downey Jr.,9,True,Marvel Studios,False,United States of America,False,2008,Spring,2000,204027083,852795638
170000000,44826,en,Hugo,32.319043,2011-11-22,185770160,126.0,Hugo,7.0,2141,Martin Scorsese,Adventure,28.0,Ben Kingsley,5,True,Paramount Pictures,True,France,True,2011,Fall,2010,237097281,259091763
170000000,8487,en,Wild Wild West,40.748915,1999-06-29,222104681,106.0,Wild Wild West,5.1,1020,Barry Sonnenfeld,Action,29.0,Will Smith,3,True,"Todman, Simon, LeMasters Productions",True,United States of America,False,1999,Summer,1990,320131856,418251669
145000000,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Rob Cohen,Adventure,15.0,Brendan Fraser,1,False,Universal Pictures,True,Germany,True,2008,Summer,2000,211313764,584579329
175000000,297761,en,Suicide Squad,90.23792,2016-08-02,745000000,123.0,Suicide Squad,5.9,7458,David Ayer,Action,128.0,Will Smith,3,True,DC Comics,True,United States of America,False,2016,Summer,2010,228732841,973748381
175000000,2698,en,Evan Almighty,27.082182,2007-06-09,173000000,96.0,Evan Almighty,5.3,1151,Tom Shadyac,Fantasy,18.0,Steve Carell,6,True,Columbia Pictures,True,United States of America,False,2007,Summer,2000,264763276,261737410
178000000,137113,en,Edge of Tomorrow,79.456485,2014-05-27,370541256,113.0,Edge of Tomorrow,7.6,4858,Doug Liman,Action,40.0,Tom Cruise,4,True,Village Roadshow Pictures,True,Australia,True,2014,Spring,2010,235887943,491046149
175000000,9804,en,Waterworld,44.640292,1995-07-28,264218220,135.0,Waterworld,5.9,992,Kevin Reynolds,Adventure,15.0,Kevin Costner,3,True,Universal Pictures,True,United States of America,False,1995,Summer,1990,360256726,543922234
175000000,14869,en,G.I. Joe: The Rise of Cobra,32.852443,2009-08-04,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,Stephen Sommers,Adventure,23.0,Dennis Quaid,2,True,Paramount Pictures,True,Czech Republic,True,2009,Summer,2000,255853499,442215751
175000000,150540,en,Inside Out,128.655964,2015-06-09,857611174,94.0,Inside Out,8.0,6560,Pete Docter,Drama,65.0,Amy Poehler,2,False,Walt Disney Pictures,True,United States of America,False,2015,Summer,2010,231631711,1135142534
175000000,278927,en,The Jungle Book,94.199316,2016-04-07,966550600,106.0,The Jungle Book,6.7,2892,Jon Favreau,Family,30.0,Neel Sethi,7,False,Walt Disney Pictures,True,United Kingdom,True,2016,Spring,2010,228732841,1263324942
200000000,10138,en,Iron Man 2,77.300194,2010-04-28,623933331,124.0,Iron Man 2,6.6,6849,Jon Favreau,Adventure,115.0,Robert Downey Jr.,11,True,Marvel Studios,False,United States of America,False,2010,Spring,2010,287695660,897514557
170000000,58595,en,Snow White and the Huntsman,77.178973,2012-05-30,396600000,127.0,Snow White and the Huntsman,5.8,3118,Rupert Sanders,Adventure,36.0,Kristen Stewart,4,False,Universal Pictures,True,United States of America,False,2012,Spring,2010,232281639,541899400
180000000,102651,en,Maleficent,110.620647,2014-05-28,758539785,97.0,Maleficent,7.0,4496,Robert Stromberg,Fantasy,82.0,Angelina Jolie,1,True,Walt Disney Pictures,True,United States of America,False,2014,Spring,2010,238538369,1005226906
170000000,119450,en,Dawn of the Planet of the Apes,243.791743,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,Matt Reeves,Science Fiction,33.0,Andy Serkis,3,True,Ingenious Media,True,United States of America,False,2014,Summer,2010,225286237,941755531
175000000,64686,en,47 Ronin,41.796339,2013-12-06,150962475,119.0,47 Ronin,5.9,1326,Carl Rinsch,Drama,24.0,Keanu Reeves,1,True,Mid Atlantic Films,True,United States of America,False,2013,Winter,2010,235658761,203289313
170000000,100402,en,Captain America: The Winter Soldier,72.225265,2014-03-20,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,Anthony Russo,Action,70.0,Chris Evans,5,False,Marvel Studios,False,United States of America,False,2014,Spring,2010,225286237,947218068
165000000,10192,en,Shrek Forever After,44.041186,2010-05-16,752600867,93.0,Shrek Forever After,6.0,1959,Mike Mitchell,Comedy,35.0,Mike Myers,6,False,DreamWorks Animation,False,United States of America,False,2010,Spring,2010,237348919,1082600015
190000000,158852,en,Tomorrowland,130.311355,2015-05-19,209154322,130.0,Tomorrowland,6.2,2846,Brad Bird,Adventure,52.0,Britt Robertson,2,False,Walt Disney Pictures,True,United States of America,False,2015,Spring,2010,251485858,276838705
165000000,177572,en,Big Hero 6,203.73459,2014-10-24,652105443,102.0,Big Hero 6,7.8,6135,Chris Williams,Adventure,46.0,Scott Adsit,4,False,Walt Disney Pictures,True,United States of America,False,2014,Fall,2010,218660172,864178715
165000000,82690,en,Wreck-It Ralph,62.341073,2012-11-01,471222889,108.0,Wreck-It Ralph,7.1,4570,Rich Moore,Family,66.0,John C. Reilly,3,True,Walt Disney Animation Studios,False,United States of America,False,2012,Fall,2010,225449826,643861323
165000000,5255,en,The Polar Express,47.323228,2004-11-10,305875730,100.0,The Polar Express,6.4,1474,Robert Zemeckis,Adventure,10.0,Tom Hanks,1,True,Golden Mean,True,United States of America,False,2004,Fall,2000,273996078,507931821
165000000,47933,en,Independence Day: Resurgence,48.775723,2016-06-22,389681935,120.0,Independence Day: Resurgence,4.9,2491,Roland Emmerich,Action,67.0,Liam Hemsworth,3,False,Twentieth Century Fox Film Corporation,True,United States of America,False,2016,Summer,2010,215662393,509331749
165000000,10191,en,How to Train Your Dragon,67.263269,2010-03-05,494878759,98.0,How to Train Your Dragon,7.5,4227,Chris Sanders,Fantasy,13.0,Jay Baruchel,3,False,DreamWorks Animation,True,United States of America,False,2010,Spring,2010,237348919,711872356
200000000,296,en,Terminator 3: Rise of the Machines,69.405188,2003-07-02,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,Jonathan Mostow,Action,14.0,Arnold Schwarzenegger,1,True,Columbia Pictures,True,Germany,True,2003,Summer,2000,340975906,741622595
170000000,118340,en,Guardians of the Galaxy,481.098624,2014-07-30,773328629,121.0,Guardians of the Galaxy,7.9,9742,James Gunn,Action,80.0,Chris Pratt,7,False,Marvel Studios,True,United Kingdom,True,2014,Summer,2010,225286237,1024825277
165000000,157336,en,Interstellar,724.247784,2014-11-05,675120017,169.0,Interstellar,8.1,10867,Christopher Nolan,Adventure,36.0,Matthew McConaughey,5,True,Paramount Pictures,True,Canada,True,2014,Fall,2010,218660172,894677932
160000000,27205,en,Inception,167.58371,2010-07-14,825532764,148.0,Inception,8.1,13752,Christopher Nolan,Action,29.0,Leonardo DiCaprio,2,True,Legendary Pictures,True,United Kingdom,True,2010,Summer,2010,230156528,1187510966
15000000,315011,ja,シン・ゴジラ,9.476999,2016-07-29,77000000,120.0,Shin Godzilla,6.5,143,Hideaki Anno,Action,49.0,Hiroki Hasegawa,0,False,Cine Bazar,True,Japan,False,2016,Summer,2010,19605672,100642450
250000000,49051,en,The Hobbit: An Unexpected Journey,108.849621,2012-11-26,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,Peter Jackson,Adventure,30.0,Ian McKellen,6,True,WingNut Films,True,New Zealand,True,2012,Fall,2010,341590645,1395197706
38000000,9799,en,The Fast and the Furious,6.909942,2001-06-22,207283925,106.0,The Fast and the Furious,6.6,3428,Rob Cohen,Action,30.0,Paul Walker,0,False,Universal Pictures,True,Germany,True,2001,Summer,2000,67331707,367283699
150000000,4922,en,The Curious Case of Benjamin Button,60.269279,2008-11-24,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,David Fincher,Fantasy,37.0,Cate Blanchett,4,True,Paramount Pictures,True,United States of America,False,2008,Fall,2000,218600446,486651348
160000000,49538,en,X-Men: First Class,3.195174,2011-05-24,353624124,132.0,X-Men: First Class,7.1,5181,Matthew Vaughn,Action,41.0,James McAvoy,6,False,Ingenious Film Partners,True,United States of America,False,2011,Spring,2010,223150382,493195989
160000000,131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,2015-11-18,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,Francis Lawrence,Action,51.0,Jennifer Lawrence,9,False,Studio Babelsberg,True,Germany,True,2015,Fall,2010,211777564,864884034
150000000,27022,en,The Sorcerer's Apprentice,35.580815,2010-07-13,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,Jon Turteltaub,Fantasy,14.0,Nicolas Cage,2,True,Walt Disney Pictures,True,United States of America,False,2010,Summer,2010,215771745,309680991
160000000,503,en,Poseidon,21.133748,2006-05-12,181674817,99.0,Poseidon,5.5,583,Wolfgang Petersen,Adventure,14.0,Kurt Russell,0,False,Virtual Studios,True,United States of America,False,2006,Spring,2000,249018001,282751874
170000000,241259,en,Alice Through the Looking Glass,56.268916,2016-05-25,299370084,113.0,Alice Through the Looking Glass,6.5,1725,James Bobin,Fantasy,98.0,Johnny Depp,8,True,Walt Disney Pictures,True,United Kingdom,True,2016,Spring,2010,222197617,391290113
160000000,810,en,Shrek the Third,42.986467,2007-05-17,798958165,93.0,Shrek the Third,6.0,2278,Chris Miller,Fantasy,41.0,Mike Myers,5,False,DreamWorks SKG,True,United States of America,False,2007,Spring,2000,242069281,1208770178
160000000,68735,en,Warcraft,63.148529,2016-05-25,433677183,123.0,Warcraft,6.3,2268,Duncan Jones,Action,47.0,Paula Patton,0,False,Universal Pictures,True,Canada,True,2016,Spring,2010,209127169,566835510
155000000,87101,en,Terminator Genisys,202.042635,2015-06-23,440603537,126.0,Terminator Genisys,5.8,3631,Alan Taylor,Science Fiction,32.0,Arnold Schwarzenegger,2,True,Paramount Pictures,True,United States of America,False,2015,Summer,2010,205159515,583187149
155000000,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,2010-08-13,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Michael Apted,Adventure,19.0,Skandar Keynes,2,False,Dune Entertainment,True,United States of America,False,2010,Summer,2010,222964136,597955602
140000000,676,en,Pearl Harbor,34.20669,2001-05-21,449220945,183.0,Pearl Harbor,6.6,1791,Michael Bay,History,101.0,Ben Affleck,8,True,Jerry Bruckheimer Films,True,United States of America,False,2001,Spring,2000,248064185,795968767
150000000,1858,en,Transformers,25.468493,2007-06-27,709709780,144.0,Transformers,6.6,4040,Michael Bay,Adventure,38.0,Shia LaBeouf,4,False,Paramount Pictures,True,United States of America,False,2007,Summer,2000,226939951,1073743351
